EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	NormalWalk	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	NormalRun	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	MeleeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
³¤Ç¹-·¢¹â2	FM_LF_000_ST01.spr	FM_LF_000_ST02.spr	FM_LF_000_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_000_WK01.spr	FM_LF_000_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_000_RN01.spr	FM_LF_000_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_000_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_000_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_000_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_000_MG01.spr	FM_LF_000_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_000_ZZ01.spr	FM_LF_000_JP01.spr	FM_LF_000_RD01.spr	FM_LF_000_HW01.spr	FM_LF_000_HR01.spr	FM_LF_000_HA01.spr	FM_LF_000_HA02.spr	FM_LF_000_HM01.spr	FM_LF_000_HI01.spr	FM_LF_000_HD01.spr	FM_LF_000_RD01.spr	FM_LF_000_RD01.spr	0x808000
Ë«´¸-·¢¹â2	FM_LF_007_ST01.spr	FM_LF_007_ST02.spr	FM_LF_000_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_007_ST06.spr	FM_LF_000_WK01.spr	FM_LF_000_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_007_WK04.spr	FM_LF_000_RN01.spr	FM_LF_000_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_007_RN04.spr	FM_LF_000_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_007_IJ04.spr	FM_LF_000_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_007_DE04.spr	FM_LF_000_AT01.spr	FM_lf_000_AT02.spr	FM_lf_000_AT03.spr	FM_lf_000_AT04.spr	FM_lf_000_AT05.spr	FM_LF_007_AT06.spr	FM_LF_007_AT07.spr	FM_lf_000_MG01.spr	FM_LF_000_MG02.spr	FM_lf_000_MG03.spr	FM_lf_000_MG04.spr	FM_LF_007_MG05.spr	FM_LF_000_ZZ01.spr	FM_LF_000_JP01.spr	FM_LF_014_RD01.spr	FM_LF_014_HW01.spr	FM_LF_014_HR01.spr	FM_LF_014_HA01.spr	FM_LF_014_HA02.spr	FM_LF_014_HM01.spr	FM_LF_014_HI01.spr	FM_LF_014_HD01.spr	FM_LF_014_RD01.spr	FM_LF_014_RD01.spr	0x808000
Ë«µ¶-·¢¹â2	FM_LF_006_ST01.spr	FM_LF_006_ST02.spr	FM_LF_000_ST03.spr	FM_LF_006_ST04.spr	FM_LF_006_ST05.spr	FM_LF_006_ST06.spr	FM_LF_000_WK01.spr	FM_LF_000_WK01.spr	FM_LF_006_WK02.spr	FM_LF_006_WK03.spr	FM_LF_006_WK04.spr	FM_LF_000_RN01.spr	FM_LF_000_RN01.spr	FM_LF_006_RN02.spr	FM_LF_006_RN03.spr	FM_LF_006_RN04.spr	FM_LF_000_IJ01.spr	FM_LF_006_IJ02.spr	FM_LF_006_IJ03.spr	FM_LF_006_IJ04.spr	FM_LF_000_DE01.spr	FM_LF_006_DE02.spr	FM_LF_006_DE03.spr	FM_LF_006_DE04.spr	FM_LF_000_AT01.spr	FM_LF_006_AT02.spr	FM_LF_006_AT03.spr	FM_LF_006_AT04.spr	FM_LF_006_AT05.spr	FM_LF_006_AT06.spr	FM_LF_006_AT07.spr	FM_LF_006_MG01.spr	FM_LF_000_MG02.spr	FM_LF_006_MG03.spr	FM_LF_006_MG04.spr	FM_LF_006_MG05.spr	FM_LF_000_ZZ01.spr	FM_LF_000_JP01.spr	FM_LF_013_RD01.spr	FM_LF_013_HW01.spr	FM_LF_013_HR01.spr	FM_LF_013_HA01.spr	FM_LF_013_HA02.spr	FM_LF_013_HM01.spr	FM_LF_013_HI01.spr	FM_LF_013_HD01.spr	FM_LF_013_RD01.spr	FM_LF_013_RD01.spr	0x808000
Ë«²øÊÖ-·¢¹â2	FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x808000
Ë«×¦-·¢¹â2	FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x808000
¿ÕÊÖ-·¢¹â2	FM_LF_001_ST01.spr	FM_LF_001_ST02.spr	FM_LF_001_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_001_WK01.spr	FM_LF_001_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_001_RN01.spr	FM_LF_001_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_001_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_001_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_001_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_001_MG01.spr	FM_LF_001_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_001_ZZ01.spr	FM_LF_001_JP01.spr	FM_LF_008_RD01.spr	FM_LF_008_HW01.spr	FM_LF_008_HR01.spr	FM_LF_008_HA01.spr	FM_LF_008_HA02.spr	FM_LF_008_HM01.spr	FM_LF_008_HI01.spr	FM_LF_008_HD01.spr	FM_LF_008_RD01.spr	FM_LF_008_RD01.spr	0x808000
Minh Ph­îng Quy Y TriÒn Thñ																																																	
Minh Ph­îng Cùc L¹c T¨ng C«n																																																	
Minh Ph­îng H­ Kh«ng Giíi §ao																																																	
Minh Ph­îng ChiÕn ThÇn Chïy																																																	
Minh Ph­îng Anh Hïng Th­¬ng																																																	
Minh Ph­îng B¸ V­¬ng B¶o §ao																																																	
Minh Ph­îng T¶n Hoa Tr­êng KiÕm																																																	
Minh Ph­îng L¨ng Tiªu TriÒn Thñ																																																	
Minh Ph­îng V¹n Hoa B¶o §ao																																																	
Minh Ph­îng Ph­¬ng Hoa Song §ao																																																	
Minh Ph­îng Diªm La TriÒn Thñ																																																	
Minh Ph­îng Minh V­¬ng B¶o §ao																																																	
Minh Ph­îng LiÔm DiÖm Phi §ao																																																	
Minh Ph­îng Thiªn Hoang Tô TiÔn																																																	
Minh Ph­îng Thiªn Kiªu Phi Tiªu																																																	
Minh Ph­îng ThiÕt HuyÕt TriÒn Thñ																																																	
Minh Ph­îng Quang Phôc Tr­îng																																																	
Minh Ph­îng Dôc NhËt Th­¬ng																																																	
Minh Ph­îng SÝ §Þa §ao																																																	
Minh Ph­îng Kh«ng Minh KiÕm																																																	
Minh Ph­îng Bång Lai KiÕm																																																	
Minh Ph­îng Cöu Thiªn Hµn ThiÕt																																																	
Minh Ph­îng Tham Th­¬ng KiÕm																																																	
Tö M·ng KÕt L« KiÕm																																																	
B¹ch Hæ Tö CÇm KiÕm	FM_LF_000_ST01.spr	FM_LF_000_ST02.spr	FM_LF_000_ST03.spr	FM_LF_000_ST04.spr	FM_LF_000_ST05.spr	FM_LF_000_ST06.spr	FM_LF_000_WK01.spr	FM_LF_000_WK01.spr	FM_LF_000_WK02.spr	FM_LF_000_WK03.spr	FM_LF_000_WK04.spr	FM_LF_000_RN01.spr	FM_LF_000_RN01.spr	FM_LF_000_RN02.spr	FM_LF_000_RN03.spr	FM_LF_000_RN04.spr	FM_LF_000_IJ01.spr	FM_LF_000_IJ02.spr	FM_LF_000_IJ03.spr	FM_LF_000_IJ04.spr	FM_LF_000_DE01.spr	FM_LF_000_DE02.spr	FM_LF_000_DE03.spr	FM_LF_000_DE04.spr	FM_LF_000_AT01.spr	FM_LF_000_AT02.spr	FM_LF_000_AT03.spr	FM_LF_000_AT04.spr	FM_LF_000_AT05.spr	FM_LF_000_AT06.spr	FM_LF_000_AT07.spr	FM_LF_000_MG01.spr	FM_LF_000_MG02.spr	FM_LF_000_MG03.spr	FM_LF_000_MG04.spr	FM_LF_000_MG05.spr	FM_LF_000_ZZ01.spr	FM_LF_000_JP01.spr	FM_LF_000_RD01.spr	FM_LF_000_HW01.spr	FM_LF_000_HR01.spr	FM_LF_000_HA01.spr	FM_LF_000_HA02.spr	FM_LF_000_HM01.spr	FM_LF_000_HI01.spr	FM_LF_000_HD01.spr	FM_LF_000_RD01.spr	FM_LF_000_RD01.spr	0x0080ff
Minh Ph­îng Tr¹m Vò KiÕm																																																	
§»ng Long Bå §Ò TriÒn Thñ																																																	
§»ng Long Nh­ Lai Ph¸p C«n 																																																	
§»ng Long V« L­îng Giíi §ao																																																	
§»ng Long Khai Thiªn ThÇn Chïy																																																	
§»ng Long TÞch §Þa Th­¬ng																																																	
§»ng Long Hçn Nguyªn B¶o §ao																																																	
§»ng Long Phi Thiªn Tr­êng KiÕm																																																	
§»ng Long B¨ng Ph¸ch TriÒn Thñ																																																	
§»ng Long Khuynh Thµnh B¶o §ao																																																	
§»ng Long B¸ch H­¬ng Uyªn ¦¬ng §ao																																																	
§»ng Long V¹n §éc TriÒn Thñ																																																	
§»ng Long V¹n Linh HuyÕt NhÉn																																																	
§»ng Long Hçn §én Phi §ao																																																	
§»ng Long ThÝ ThÇn Tô TiÔn																																																	
§»ng Long Phong B¹o Phi Tiªu																																																	
§»ng Long Hµo T×nh TriÒn Thñ																																																	
§»ng Long Tô NghÜa Tr­îng																																																	
§»ng Long Viªm Hoµng Th­¬ng																																																	
§»ng Long PhÇn Thiªn B¶o §ao																																																	
§»ng Long Ngäc H­ ThÇn KiÕm																																																	
§»ng Long HuyÒn Thiªn ThÇn KiÕm																																																	
§»ng Long Ph­¬ng Nguyªn B¶o §ao																																																	
§»ng Long Th­¬ng Khung ThÇn KiÕm																																																	
§»ng Long Tè Du KiÕm																																																	
§»ng Long Y Thñy KiÕm																																																	
Tinh S­¬ng-Khæ §Õ TriÒn Thñ																																																	
Tinh S­¬ng-DiÖt §Õ Ph¸p C«n																																																	
Tinh S­¬ng-§¹o §Õ Giíi §ao																																																	
Tinh S­¬ng-Th«n Tµ ThÇn Chïy																																																	
Tinh S­¬ng-L­u Kim Th­¬ng																																																	
Tinh S­¬ng-L÷ S­¬ng B¶o §ao																																																	
Tinh S­¬ng-L¹c Anh B¶o KiÕm																																																	
Tinh S­¬ng-PhÊt HuyÖt TriÒn Thñ																																																	
Tinh S­¬ng-Thiªn H­¬ng B¶o §ao																																																	
Tinh S­¬ng-Th¸i VËn Uyªn ¦¬ng §ao																																																	
Tinh S­¬ng-ThiÒm Phi TriÒn Thñ																																																	
Tinh S­¬ng-Phô Cèt HuyÕt NhËn																																																	
Tinh S­¬ng-L·nh HuyÕt Phi §ao																																																	
Tinh S­¬ng-Né Liªn Tô TiÔn																																																	
Tinh S­¬ng-Truy MÖnh Phi Tiªu																																																	
Tinh S­¬ng-M·nh Long TriÒn Thñ																																																	
Tinh S­¬ng-Ph¸ Lç Tr­îng																																																	
Tinh S­¬ng-LuyÖn NhËt Th­¬ng																																																	
Tinh S­¬ng-Khèc Viªm B¶o §ao																																																	
Tinh S­¬ng-ChÊn S¬n ThÇn KiÕm																																																	
Tinh S­¬ng-Qu©n Uy ThÇn KiÕm																																																	
Tinh S­¬ng-Minh L«i B¶o §ao																																																	
Tinh S­¬ng-Oanh Minh ThÇn KiÕm																																																	
Tinh S­¬ng-H¹o Thiªn KiÕm																																																	
Tinh S­¬ng-Thanh H­ KiÕm																																																	
NguyÖt KhuyÕt Träng KiÕp TriÒn Thñ	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt S¸t KiÕp Ph¸p C«n	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Ph¸ KiÕp Giíi §ao	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt PhÊn Vò ThÇn Chïy	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Phong Yªn  Th­¬ng	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Tr­êng Kh«ng B¶o §ao	FM_RLF_103_ST01.spr	FM_RLF_103_ST02.spr	FM_RLF_103_ST01.spr	FM_RLF_103_ST05.spr	FM_RLF_103_ST05.spr	FM_RLF_103_ST05.spr	FM_RLF_103_WALK.spr	FM_RLF_103_WALK.spr	FM_RLF_103_WALK.spr	FM_RLF_103_WALK.spr	FM_RLF_103_WALK.spr	FM_RLF_103_FR04.spr	FM_RLF_103_FR04.spr	FM_RLF_103_FR04.spr	FM_RLF_103_FR04.spr	FM_RLF_103_FR04.spr	FM_RLF_103_FW.spr	FM_RLF_103_FW.spr	FM_RLF_103_FW.spr	FM_RLF_103_FW.spr	FM_RLF_103_DEATH.spr	FM_RLF_103_DEATH.spr	FM_RLF_103_DEATH.spr	FM_RLF_103_DEATH.spr	FM_RLF_103_AT04.spr	FM_RLF_103_AT05.spr	FM_RLF_103_AT04.spr	FM_RLF_103_AT05.spr	FM_RLF_103_AT04.spr	FM_RLF_103_AT05.spr	FM_RLF_103_AT05.spr	FM_RLF_103_MG01.spr	FM_RLF_103_MG01.spr	FM_RLF_103_MG01.spr	FM_RLF_103_MG01.spr	FM_RLF_103_MG01.spr	1.spr	1.spr	FM_RLF_103_HR_STAND.spr	FM_RLF_103_HR_WALK.spr	FM_RLF_103_HR_RUN.spr	FM_RLF_103_HR_PUN01.spr	FM_RLF_103_HR_PUN02.spr	FM_RLF_103_HMG01.spr	FM_RLF_103_RW01.spr	FM_RLF_103_HR_DEATH.spr	FM_RLF_103_HR_STAND.spr	FM_RLF_103_HR_STAND.spr	0x0080ff
NguyÖt KhuyÕt Kinh Hång B¶o KiÕm	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt HiÓu NguyÖt TriÒn Thñ	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt T­¬ng T­ B¶o §ao	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Phong NguyÖt Uyªn ¦¬ng §ao	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt B¸ch §éc TriÒn Thñ	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt U Minh HuyÕt NhÉn	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Th«i MÖnh Phi §ao	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt BÝ §éc Tô TiÔn	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt M¹n §å Phi Tiªu	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt XÝch Long TriÒn Thñ	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	1.spr	0x0080ff
NguyÖt KhuyÕt Hµo KiÖt Tr­îng	FM_RLF_101_ST01.spr	FM_RLF_101_ST02.spr	FM_RLF_101_ST01.spr	FM_RLF_100_ST05.spr	FM_RLF_101_ST05.spr	FM_RLF_101_ST05.spr	FM_RLF_101_WALK.spr	FM_RLF_101_WALK.spr	FM_RLF_101_WALK.spr	FM_RLF_101_WALK.spr	FM_RLF_101_WALK.spr	FM_RLF_101_FR04.spr	FM_RLF_101_FR04.spr	FM_RLF_101_FR04.spr	FM_RLF_101_FR04.spr	FM_RLF_101_FR04.spr	FM_RLF_101_FW.spr	FM_RLF_101_FW.spr	FM_RLF_101_FW.spr	FM_RLF_101_FW.spr	FM_RLF_101_DEATH.spr	FM_RLF_101_DEATH.spr	FM_RLF_101_DEATH.spr	FM_RLF_101_DEATH.spr	FM_RLF_101_AT04.spr	FM_RLF_101_AT04.spr	FM_RLF_101_AT04.spr	FM_RLF_101_AT04.spr	FM_RLF_101_AT05.spr	FM_RLF_101_AT05.spr	FM_RLF_101_AT05.spr	FM_RLF_101_MG01.spr	FM_RLF_101_MG01.spr	FM_RLF_101_MG01.spr	FM_RLF_101_MG01.spr	FM_RLF_101_MG01.spr	1.spr	1.spr	FM_RLF_101_HR_STAND.spr	FM_RLF_101_HR_WALK.spr	FM_RLF_101_HR_RUN.spr	FM_RLF_101_HR_PUN01.spr	FM_RLF_101_HR_PUN02.spr	FM_RLF_101_HMG01.spr	FM_RLF_101_RW01.spr	FM_RLF_101_HR_DEATH.spr	FM_RLF_101_HR_STAND.spr	FM_RLF_101_HR_STAND.spr	0x0080ff
